"","X1","X2","group"
"1",15,39,2
"2",15,81,6
"3",16,6,5
"4",16,77,6
"5",17,40,2
"6",17,76,6
"7",18,6,5
"8",18,94,9
"9",19,3,5
"10",19,72,6
"11",19,14,5
"12",19,99,9
"13",20,15,5
"14",20,77,6
"15",20,13,5
"16",20,79,6
"17",21,35,2
"18",21,66,6
"19",23,29,2
"20",23,98,9
"21",24,35,2
"22",24,73,6
"23",25,5,5
"24",25,73,6
"25",28,14,5
"26",28,82,6
"27",28,32,2
"28",28,61,6
"29",29,31,2
"30",29,87,6
"31",30,4,5
"32",30,73,6
"33",33,4,5
"34",33,92,6
"35",33,14,5
"36",33,81,6
"37",34,17,5
"38",34,73,6
"39",37,26,3
"40",37,75,6
"41",38,35,8
"42",38,92,6
"43",39,36,8
"44",39,61,8
"45",39,28,3
"46",39,65,8
"47",40,55,8
"48",40,47,8
"49",40,42,8
"50",40,42,8
"51",42,52,8
"52",42,60,8
"53",43,54,8
"54",43,60,8
"55",43,45,8
"56",43,41,8
"57",44,50,8
"58",44,46,8
"59",46,51,8
"60",46,46,8
"61",46,56,8
"62",46,55,8
"63",47,52,8
"64",47,59,8
"65",48,51,8
"66",48,59,8
"67",48,50,8
"68",48,48,8
"69",48,59,8
"70",48,47,8
"71",49,55,8
"72",49,42,8
"73",50,49,8
"74",50,56,8
"75",54,47,8
"76",54,54,8
"77",54,53,8
"78",54,48,8
"79",54,52,8
"80",54,42,8
"81",54,51,8
"82",54,55,8
"83",54,41,8
"84",54,44,8
"85",54,57,8
"86",54,46,8
"87",57,58,8
"88",57,55,8
"89",58,60,8
"90",58,46,8
"91",59,55,8
"92",59,41,8
"93",60,49,8
"94",60,40,8
"95",60,42,8
"96",60,52,8
"97",60,47,8
"98",60,50,8
"99",61,42,8
"100",61,49,8
"101",62,41,8
"102",62,48,8
"103",62,59,8
"104",62,55,8
"105",62,56,8
"106",62,42,8
"107",63,50,8
"108",63,46,8
"109",63,43,8
"110",63,48,8
"111",63,52,8
"112",63,54,8
"113",64,42,8
"114",64,46,8
"115",65,48,8
"116",65,50,8
"117",65,43,8
"118",65,59,8
"119",67,43,8
"120",67,57,8
"121",67,56,8
"122",67,40,8
"123",69,58,8
"124",69,91,7
"125",70,29,8
"126",70,77,7
"127",71,35,8
"128",71,95,7
"129",71,11,10
"130",71,75,7
"131",71,9,10
"132",71,75,7
"133",72,34,8
"134",72,71,7
"135",73,5,10
"136",73,88,7
"137",73,7,10
"138",73,73,7
"139",74,10,10
"140",74,72,7
"141",75,5,10
"142",75,93,7
"143",76,40,8
"144",76,87,7
"145",77,12,10
"146",77,97,7
"147",77,36,8
"148",77,74,7
"149",78,22,10
"150",78,90,7
"151",78,17,10
"152",78,88,7
"153",78,20,10
"154",78,76,7
"155",78,16,10
"156",78,89,7
"157",78,1,10
"158",78,78,7
"159",78,1,10
"160",78,73,7
"161",79,35,8
"162",79,83,7
"163",81,5,10
"164",81,93,7
"165",85,26,10
"166",85,75,7
"167",86,20,10
"168",86,95,7
"169",87,27,10
"170",87,63,7
"171",87,13,10
"172",87,75,7
"173",87,10,10
"174",87,92,7
"175",88,13,10
"176",88,86,7
"177",88,15,10
"178",88,69,7
"179",93,14,10
"180",93,90,7
"181",97,32,10
"182",97,86,7
"183",98,15,10
"184",98,88,7
"185",99,39,10
"186",99,97,7
"187",101,24,10
"188",101,68,1
"189",103,17,10
"190",103,85,7
"191",103,23,10
"192",103,69,1
"193",113,8,4
"194",113,91,7
"195",120,16,4
"196",120,79,4
"197",126,28,4
"198",126,74,4
"199",137,18,4
"200",137,83,4
